,dataset,classifier,best_f1_score,best_params
0,ecoli,Logistic regression,0.906853398,"{'C': 3.9227198622447794, 'solver': 'liblinear'}"
1,ecoli,XGBoost,0.920995501,"{'n_estimators': 152, 'max_depth': 8, 'learning_rate': 0.05583835031870823, 'subsample': 0.6080293915098957}"
2,ecoli,KNeighborsClassifier,0.920954267,"{'n_neighbors': 10, 'weights': 'distance', 'metric': 'euclidean'}"
3,ecoli,DecisionTreeClassifier,0.908657652,"{'max_depth': 5, 'min_samples_split': 2, 'criterion': 'gini'}"
4,ecoli,MLPClassifier,0.922877943,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.00261040870706484, 'learning_rate_init': 0.03884504332909806}"
5,ecoli,SVC,0.920288268,"{'C': 2.1446057883408973, 'kernel': 'rbf', 'gamma': 'auto'}"
6,ecoli,RandomForestClassifier,0.919035968,"{'n_estimators': 142, 'max_depth': 10, 'min_samples_split': 8}"
7,satimage,Logistic regression,0.860561236,"{'C': 14.153281128433653, 'solver': 'lbfgs'}"
8,satimage,XGBoost,0.939676886,"{'n_estimators': 159, 'max_depth': 9, 'learning_rate': 0.0334997304537333, 'subsample': 0.8488786370499147}"
9,satimage,KNeighborsClassifier,0.940874338,"{'n_neighbors': 3, 'weights': 'distance', 'metric': 'manhattan'}"
10,satimage,DecisionTreeClassifier,0.919116306,"{'max_depth': 12, 'min_samples_split': 6, 'criterion': 'entropy'}"
11,satimage,MLPClassifier,0.941125831,"{'hidden_layer_sizes': (100,), 'activation': 'tanh', 'alpha': 0.03347228219645607, 'learning_rate_init': 0.005974390564604283}"
12,satimage,SVC,0.936103965,"{'C': 36.13532985283734, 'kernel': 'rbf', 'gamma': 'auto'}"
13,satimage,RandomForestClassifier,0.935559972,"{'n_estimators': 63, 'max_depth': 20, 'min_samples_split': 3}"
14,pen_digits,Logistic regression,0.962044893,"{'C': 82.46111383087583, 'solver': 'liblinear'}"
15,pen_digits,XGBoost,0.996795193,"{'n_estimators': 168, 'max_depth': 6, 'learning_rate': 0.11409504364061689, 'subsample': 0.6924092041693996}"
16,pen_digits,KNeighborsClassifier,0.998633813,"{'n_neighbors': 3, 'weights': 'distance', 'metric': 'manhattan'}"
17,pen_digits,DecisionTreeClassifier,0.990890181,"{'max_depth': 15, 'min_samples_split': 6, 'criterion': 'entropy'}"
18,pen_digits,MLPClassifier,0.998175603,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 0.03442628994770118, 'learning_rate_init': 0.0020445207685664017}"
19,pen_digits,SVC,0.998635117,"{'C': 15.009353691062152, 'kernel': 'rbf', 'gamma': 'auto'}"
20,pen_digits,RandomForestClassifier,0.995166188,"{'n_estimators': 183, 'max_depth': 18, 'min_samples_split': 2}"
21,sick_euthyroid,Logistic regression,0.958046031,"{'C': 11.526512875674513, 'solver': 'lbfgs'}"
22,sick_euthyroid,XGBoost,0.983776976,"{'n_estimators': 149, 'max_depth': 9, 'learning_rate': 0.28210074816586683, 'subsample': 0.8614793535400973}"
23,sick_euthyroid,KNeighborsClassifier,0.927193892,"{'n_neighbors': 5, 'weights': 'distance', 'metric': 'euclidean'}"
24,sick_euthyroid,DecisionTreeClassifier,0.979141823,"{'max_depth': 6, 'min_samples_split': 13, 'criterion': 'entropy'}"
25,sick_euthyroid,MLPClassifier,0.961672157,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 0.0007169073894635737, 'learning_rate_init': 0.0026583504655104066}"
26,sick_euthyroid,SVC,0.962443841,"{'C': 51.70630948431601, 'kernel': 'linear', 'gamma': 'auto'}"
27,sick_euthyroid,RandomForestClassifier,0.981631369,"{'n_estimators': 106, 'max_depth': 17, 'min_samples_split': 3}"
28,libras_move,Logistic regression,0.982692917,"{'C': 33.44565325210046, 'solver': 'lbfgs'}"
29,libras_move,XGBoost,0.96887309,"{'n_estimators': 147, 'max_depth': 10, 'learning_rate': 0.2524957978879375, 'subsample': 0.6423977943668168}"
30,libras_move,KNeighborsClassifier,0.952981165,"{'n_neighbors': 6, 'weights': 'distance', 'metric': 'euclidean'}"
31,libras_move,DecisionTreeClassifier,0.962480054,"{'max_depth': 11, 'min_samples_split': 13, 'criterion': 'entropy'}"
32,libras_move,MLPClassifier,0.985681682,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 0.004908115374416824, 'learning_rate_init': 0.0534519527876019}"
33,libras_move,SVC,0.979475128,"{'C': 24.493417703662576, 'kernel': 'linear', 'gamma': 'scale'}"
34,libras_move,RandomForestClassifier,0.945934891,"{'n_estimators': 171, 'max_depth': 15, 'min_samples_split': 2}"
35,car_eval_4,Logistic regression,0.989831103,"{'C': 2.1651720268071077, 'solver': 'liblinear'}"
36,car_eval_4,XGBoost,0.994237406,"{'n_estimators': 84, 'max_depth': 9, 'learning_rate': 0.16622940011663442, 'subsample': 0.9518598038005576}"
37,car_eval_4,KNeighborsClassifier,0.953328915,"{'n_neighbors': 9, 'weights': 'uniform', 'metric': 'euclidean'}"
38,car_eval_4,DecisionTreeClassifier,0.992686286,"{'max_depth': 19, 'min_samples_split': 2, 'criterion': 'gini'}"
39,car_eval_4,MLPClassifier,0.998550725,"{'hidden_layer_sizes': (50, 50), 'activation': 'relu', 'alpha': 0.00015595876162164288, 'learning_rate_init': 0.031203478769450343}"
40,car_eval_4,SVC,0.999291933,"{'C': 28.52399944761378, 'kernel': 'poly', 'gamma': 'scale'}"
41,car_eval_4,RandomForestClassifier,0.987721057,"{'n_estimators': 127, 'max_depth': 20, 'min_samples_split': 3}"
42,wine_quality,Logistic regression,0.947355554,"{'C': 35.48464739885025, 'solver': 'lbfgs'}"
43,wine_quality,XGBoost,0.957331296,"{'n_estimators': 136, 'max_depth': 6, 'learning_rate': 0.11655814962799387, 'subsample': 0.7741166719403723}"
44,wine_quality,KNeighborsClassifier,0.954424466,"{'n_neighbors': 12, 'weights': 'distance', 'metric': 'euclidean'}"
45,wine_quality,DecisionTreeClassifier,0.951916757,"{'max_depth': 9, 'min_samples_split': 4, 'criterion': 'gini'}"
46,wine_quality,MLPClassifier,0.955284697,"{'hidden_layer_sizes': (50, 50), 'activation': 'tanh', 'alpha': 0.00046704790056297587, 'learning_rate_init': 0.0029531550421521024}"
47,wine_quality,SVC,0.95265433,"{'C': 17.839608042602325, 'kernel': 'rbf', 'gamma': 'scale'}"
48,wine_quality,RandomForestClassifier,0.950843283,"{'n_estimators': 78, 'max_depth': 14, 'min_samples_split': 8}"
49,ozone_level,Logistic regression,0.964686307,"{'C': 2.8473060966691826, 'solver': 'lbfgs'}"
50,ozone_level,XGBoost,0.966426086,"{'n_estimators': 180, 'max_depth': 3, 'learning_rate': 0.2293313434335015, 'subsample': 0.6158553574316149}"
51,ozone_level,KNeighborsClassifier,0.963432329,"{'n_neighbors': 11, 'weights': 'distance', 'metric': 'manhattan'}"
52,ozone_level,DecisionTreeClassifier,0.963432006,"{'max_depth': 5, 'min_samples_split': 14, 'criterion': 'entropy'}"
53,ozone_level,MLPClassifier,0.965993991,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.004190698631731555, 'learning_rate_init': 0.03202052273688303}"
54,ozone_level,SVC,0.964311149,"{'C': 0.6245781045667714, 'kernel': 'linear', 'gamma': 'scale'}"
55,ozone_level,RandomForestClassifier,0.9608362,"{'n_estimators': 71, 'max_depth': 15, 'min_samples_split': 3}"
56,arrhythmia,Logistic regression,0.932142471,"{'C': 5.090435249843666, 'solver': 'lbfgs'}"
57,arrhythmia,XGBoost,0.97226519,"{'n_estimators': 175, 'max_depth': 4, 'learning_rate': 0.17318975343920404, 'subsample': 0.7776327543021452}"
58,arrhythmia,KNeighborsClassifier,0.917684249,"{'n_neighbors': 4, 'weights': 'uniform', 'metric': 'euclidean'}"
59,arrhythmia,DecisionTreeClassifier,0.967464148,"{'max_depth': 17, 'min_samples_split': 6, 'criterion': 'gini'}"
60,arrhythmia,MLPClassifier,0.92995982,"{'hidden_layer_sizes': (50, 50), 'activation': 'relu', 'alpha': 0.0005027614083453926, 'learning_rate_init': 0.03755986761606487}"
61,arrhythmia,SVC,0.932299412,"{'C': 11.703951465517008, 'kernel': 'rbf', 'gamma': 'scale'}"
